Status,Type,Application Number,License Number,Entity Name,Street,City,State,Zip Code,Latitude,Longitude,Georeference
Pending,CAURD Retail,,,CAURD Pending Location,1802 East Ridge Road,Irondequoit,NY,14622,43.20130706,-77.5693272,POINT (-77.5693272 43.20130706)
Pending,CAURD Retail,OCMCAURDP-2024-000027,,"Good Vibes NYC, Inc.",5591 Broadway,Bronx,NY,10463,40.87882554,-73.90494359,POINT (-73.90494359 40.87882554)
Active,RO Medical,,MM0605D,"NYCANNA, LLC",247 Dunning Rd.,Wallkill,NY,10940,41.45392992,-74.38317183,POINT (-74.38317183 41.45392992)
Pending,Adult-Use Retail,OCMRETL-2023-001213,,Mirae Corp,40-28 Murray Street,Flushing,NY,11354,40.76381429,-73.81278839,POINT (-73.81278839 40.76381429)
Pending,Adult-Use Retail,OCMRETL-2023-000074,,The Alcove NY LLC,579 Myrtle Ave,Brooklyn,NY,11205,40.69408672,-73.96095103,POINT (-73.96095103 40.69408672)
Active,Adult-Use Retail,OCMRETL-2023-002012,OCM-RETL-24-000121,Altitude NY LLC,750 Saint Nicholas Avenue,New York,NY,10031,40.82556543,-73.9435573,POINT (-73.9435573 40.82556543)
Active,Adult-Use Retail,OCMRETL-2023-001264,OCM-RETL-24-000152,RSSQ Holding LLC,1200 Mamaroneck Ave,White Plains,NY,10605,40.99263475,-73.74661336,POINT (-73.74661336 40.99263475)
Pending,Adult-Use Retail,OCMRETL-2023-001837,,Meadow Flower LLC,208 Front St,Owego,NY,13827,42.10266791,-76.26006883,POINT (-76.26006883 42.10266791)
Pending,Adult-Use Retail,OCMRETL-2023-002034,,Fire in Da Bowl LLC,13615 Roosevelt Ave,Flushing,NY,11354,40.7597519,-73.82965127,POINT (-73.82965127 40.7597519)
Active,CAURD Retail,OCMCAURDP-2024-000071,OCM-CAURD-24-000188,Bourne Construction & Program Management LLC,2225 Church Ave,Brooklyn,NY,11226,40.65046698,-73.95830698,POINT (-73.95830698 40.65046698)
Pending,Adult-Use Microbusiness,OCMMICR-2023-000473,,Pleasant View Harvest llc,137 Main St,Cold Spring,NY,10516,41.41866182,-73.95684054,POINT (-73.95684054 41.41866182)
Pending,Adult-Use Retail,OCMRETL-2023-000972,,Bay Bridge East LLC,700 Main St,New Rochelle,NY,10801,40.90430844,-73.78808134,POINT (-73.78808134 40.90430844)
Pending,Adult-Use Retail,OCMRETL-2023-002086,,HiCaliber Consulting LLC,1307 Jefferson Ave,Buffalo,NY,14208,42.91078362,-78.85390462,POINT (-78.85390462 42.91078362)
Pending,CAURD Retail,OCMCAURDP-2024-000031,,Excelsior Dispensary LLC,162 Main St,Nyack,NY,10960,41.09175708,-73.92255396,POINT (-73.92255396 41.09175708)
Pending,Adult-Use Retail,OCMRETL-2023-001823,,Smiley 370 LLC,370 Ronkonkoma Ave,Lk Ronkonkoma,NY,11779,40.81185905,-73.11183144,POINT (-73.11183144 40.81185905)
Active,CAURD Retail,OCMCAURDP-2023-000043,OCM-CAURD-23-000036,The Herbal Care THC LLC,1412 Lexington Ave,New York,NY,10128,40.78373704,-73.95257291,POINT (-73.95257291 40.78373704)
